食物名称(100g),热量(kcal),硫胺素(mg),钙(mg),蛋白质(g),核黄素(mg),镁(mg),脂肪(g),烟酸(mg),铁(mg),碳水化合物(g),维生素C(mg),锰(mg),膳食纤维(g),维生素E(mg),锌(mg),维生素A(ug),胆固醇(mg),铜(mg),胡萝卜素(ug),钾(mg),磷(mg),视黄醇当量(ug),钠(mg),硒(mg),label
鸭心,143,0,20,13,1,18,9,8,5,3,0,0,0,1,1,24,120,0,1,233,188,74,86,15,8
鸭血(白鸭),108,0,5,14,0,8,0,0,30,12,0,0,0,0,0,0,95,0,1,166,87,73,174,0,1
鸭血(公麻鸭),56,0,3,13,0,11,0,0,32,0,0,0,0,0,1,57,95,0,1,186,127,85,199,0,8
鸭血(母麻鸭),55,0,2,13,0,9,0,0,40,0,0,0,0,0,1,110,95,0,1,185,127,86,175,0,8
鸭胰,117,0,20,22,1,41,3,3,2,1,9,0,0,0,4,6,230,0,2,84,554,73,56,26,8
鸭肫,92,0,12,18,0,18,1,4,4,2,0,0,0,0,3,6,153,0,1,284,134,78,69,16,8
鸭肫(公麻鸭),112,0,2,20,0,19,1,0,4,5,0,0,0,0,4,48,295,0,1,351,116,73,70,0,8
鸭肫(母麻鸭),126,0,1,20,0,1,4,0,4,2,0,0,0,0,4,102,291,0,1,349,144,73,69,0,8
北京烤鸭,436,0,35,17,0,13,38,4,2,6,0,0,0,1,1,36,0,0,1,247,175,38,83,10,0
北京填鸭,425,0,15,9,0,6,41,4,2,4,0,0,0,1,1,30,96,0,0,139,149,45,46,6,0
红烧鸭(罐头),338,0,29,15,0,17,30,4,2,1,0,0,0,0,2,26,0,0,2,115,467,51,628,12,0
酱鸭,266,0,14,19,0,13,18,4,4,6,0,0,0,0,3,11,107,0,3,236,140,54,981,16,8
酱鸭(加梅菜，罐头),248,0,29,12,0,24,22,6,3,1,0,0,1,0,3,26,35,0,2,130,208,62,474,10,8
盐水鸭(熟),313,0,10,17,0,14,26,2,1,3,0,0,0,0,2,35,81,0,3,218,112,52,1558,15,0
鹅,251,0,4,18,0,18,20,5,4,0,0,0,0,0,1,42,74,0,1,232,144,61,59,18,8
鹅肝,129,0,2,15,0,11,3,0,8,9,0,0,0,0,4,6100,285,8,1,336,216,71,70,0,35
鹅肫,100,0,2,20,0,9,2,0,5,1,0,0,0,0,4,51,153,0,1,410,112,76,58,0,8
烧鹅,289,0,91,20,0,7,22,4,4,4,0,0,0,0,2,9,116,0,2,22,202,53,240,8,8
火鸡腿,91,0,12,20,0,49,1,8,5,0,0,0,0,0,9,0,58,0,1,708,470,78,168,16,27
火鸡胸脯肉,103,0,39,22,0,31,0,16,1,3,0,0,0,0,1,0,49,0,1,227,116,74,94,10,27
火鸡肝,143,0,3,20,1,18,6,43,21,3,0,0,0,1,2,0,294,0,1,244,225,70,129,36,4
火鸡肫,91,0,44,19,0,24,0,8,4,3,0,0,0,0,3,0,342,0,1,352,108,76,57,16,8
鸽,201,0,30,16,0,27,14,7,4,2,0,0,0,1,1,53,99,0,1,334,136,67,64,11,8
鹌鹑,110,0,48,20,0,20,3,6,2,0,0,0,0,0,1,40,157,0,1,204,179,75,48,12,8
牛乳(均值),54,0,104,3,0,11,3,0,0,3,1,0,0,0,0,24,15,0,1,109,73,90,37,2,1
牛乳(美国牛),59,0,108,3,0,19,3,0,0,5,1,0,0,0,0,9,26,0,1,127,68,89,40,2,1
牛乳(强化VA，VD),51,0,140,3,0,14,2,0,0,6,3,0,0,0,0,66,0,0,1,130,60,89,43,1,1
牛乳(西德牛),60,0,114,3,0,19,3,0,0,5,0,0,0,0,0,13,32,0,1,120,87,88,46,2,1
鲜羊乳,59,0,82,2,0,0,4,2,0,5,0,0,0,0,0,84,31,0,1,135,98,89,21,2,1
人乳,65,0,30,1,0,32,3,0,0,7,5,0,0,0,0,11,11,0,0,0,13,88,0,0,1
牛乳粉(多维奶粉),484,0,1797,20,7,22,23,0,1,50,9,0,0,0,4,77,68,0,5,1910,324,3,568,17,20
全脂加糖奶粉,490,0,495,22,0,81,23,0,1,47,0,0,0,0,2,183,0,0,6,841,1018,1,451,7,19
全脂牛奶粉,478,0,676,20,1,79,21,1,1,52,4,0,0,0,3,141,110,0,5,449,469,2,260,12,19
全脂速溶奶粉,466,0,659,20,1,73,19,0,3,54,7,0,0,1,2,272,71,0,5,541,571,2,248,8,19
全脂羊乳粉,498,0,0,19,2,0,25,1,0,49,0,0,0,0,0,0,75,0,6,0,0,1,0,0,0
酸奶(均值),72,0,118,2,0,12,3,0,0,9,1,0,0,0,1,26,15,0,1,150,85,85,40,2,1
酸奶(高蛋白),62,0,161,3,0,15,2,0,0,7,0,0,0,0,1,0,0,0,1,135,52,87,43,2,1
酸奶(脱脂),57,0,146,3,0,10,0,0,0,10,1,0,0,0,1,0,18,0,1,156,91,86,28,1,1
酸奶(中脂),64,0,81,3,0,10,2,0,0,9,1,0,0,0,1,32,12,0,1,130,59,86,13,1,1
酸奶(果料),67,0,140,3,0,11,1,0,0,10,2,0,0,1,1,19,15,0,1,111,90,84,32,1,1
酸奶(桔味，脱脂),48,0,89,3,0,11,0,0,0,8,5,0,0,0,0,1,15,0,1,128,73,88,3,1,1
奶酪[干酪],328,0,799,26,1,57,24,1,2,4,0,0,0,1,7,152,11,0,4,75,326,44,585,2,19
奶豆腐(脱脂),343,0,360,54,0,25,2,0,12,26,1,0,0,0,2,0,36,0,3,188,773,15,55,7,19
奶豆腐(鲜),305,0,597,46,1,17,8,1,3,12,0,0,0,0,2,0,36,0,2,240,657,32,90,12,19
奶疙瘩[奶酪干，干酸奶],426,0,730,55,0,49,15,1,19,18,2,0,0,0,5,0,51,2,3,314,689,9,79,15,19
契达干酪(普通),412,0,720,26,0,25,34,0,0,0,0,0,0,1,2,363,100,0,0,77,490,36,670,12,19
契达干酪(脱脂),261,0,840,32,1,39,15,0,0,0,0,0,0,0,3,182,43,0,0,110,620,47,670,15,19
曲拉,356,0,1217,39,0,143,3,0,6,43,0,0,0,1,3,216,0,0,6,166,1135,8,285,2,19
全脂软酪,313,0,110,9,0,9,31,0,0,0,0,0,0,0,1,0,90,0,0,150,130,58,330,3,0
酸酪蛋,443,0,756,40,0,47,20,1,21,24,0,0,0,0,3,0,120,1,4,512,682,11,131,11,19
羊乳酪,250,0,360,16,0,20,20,0,0,2,0,0,0,0,1,226,70,0,0,95,280,56,1440,0,8
中脂软酪,179,0,0,9,0,0,14,0,0,3,0,0,0,1,0,224,42,0,0,0,0,70,0,3,1
奶油,879,0,14,1,0,2,97,0,1,1,0,0,0,2,0,297,209,0,1,226,11,1,268,1,16
奶油(焦克),447,0,202,3,0,10,48,0,1,0,0,0,0,0,0,0,92,0,1,138,82,48,41,6,0
奶油(食品工业),504,0,20,1,0,2,56,0,0,0,0,1,0,2,1,345,103,0,0,1064,32,43,191,1,0
黄油,888,0,35,1,0,7,98,0,1,0,0,0,0,0,0,0,296,0,0,39,8,0,40,2,16
黄油渣,599,0,597,11,0,97,44,0,3,40,0,1,0,0,1,0,150,0,0,160,288,5,60,1,19
白脱(食品工业)[牛油，黄油],744,0,1,0,0,2,83,0,1,0,0,0,0,4,1,534,152,0,0,43,14,18,18,1,16
酥油,860,0,128,2,0,2,94,0,0,1,0,0,0,2,0,426,227,0,0,188,9,2,73,1,16
炼乳(甜，罐头),332,0,242,8,0,24,9,0,0,55,2,0,0,0,2,41,36,0,2,309,200,26,212,3,3
奶皮子,460,0,818,12,0,28,43,0,1,6,0,0,0,0,2,0,78,0,2,4,308,37,2,5,19
奶片,472,0,269,13,0,32,20,2,2,59,5,0,0,0,3,75,65,0,4,356,427,4,180,12,3
鸡蛋(均值),144,0,56,13,0,10,9,0,2,3,0,0,0,2,1,234,0,0,1,154,130,74,132,14,8
鸡蛋(白皮),138,0,48,13,0,14,9,0,2,2,0,0,0,1,1,310,585,0,1,98,176,76,95,17,8
鸡蛋(红皮),156,0,44,13,0,11,11,0,2,1,0,0,0,2,1,194,585,0,1,121,182,74,126,15,8
鸡蛋(土鸡),138,0,76,14,0,5,6,0,2,6,0,0,0,1,1,199,1338,0,1,244,33,73,174,12,11
鸡蛋白,60,0,9,12,0,15,0,0,2,3,0,0,0,0,0,0,0,0,1,132,18,84,79,7,1
鸡蛋白(乌骨鸡),44,0,9,10,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,109,17,88,165,3,1
鸡蛋黄,328,0,112,15,0,41,28,0,6,3,0,0,0,5,4,438,1510,0,2,95,240,52,55,27,11
鸡蛋黄(乌骨鸡),263,0,107,15,0,16,20,0,0,6,0,0,0,8,3,179,2057,1,1,105,216,58,57,23,11
鸡蛋粉[全蛋粉],545,0,954,43,0,46,36,0,10,11,0,0,0,12,6,525,2251,0,7,357,780,2,393,39,11
鸡蛋黄粉,644,0,266,32,0,22,55,0,11,5,0,0,0,14,7,776,2850,0,3,103,905,5,90,28,11
松花蛋(鸡蛋),178,0,26,15,0,8,11,0,4,6,0,0,0,1,3,310,595,0,2,148,263,66,0,44,23
鸭蛋,180,0,62,13,0,13,13,0,3,3,0,0,0,5,2,261,565,0,1,135,226,70,106,16,8
鸭蛋白,47,0,18,10,0,21,0,0,0,2,0,0,0,0,0,23,0,0,1,84,0,88,71,4,1
鸭蛋黄,378,0,123,14,1,22,34,0,5,4,0,0,0,13,3,1980,1576,0,3,86,55,45,30,25,11
松花蛋(鸭蛋)[皮蛋],171,0,63,14,0,13,11,0,3,4,0,0,0,3,1,215,608,0,2,152,165,68,543,25,8
咸鸭蛋,190,0,118,13,0,30,13,0,4,6,0,0,0,6,2,134,647,0,7,184,231,61,2706,24,8
鹅蛋,196,0,34,11,0,12,16,0,4,3,0,0,0,4,1,192,704,0,1,74,130,69,91,27,8
鹅蛋白,48,0,4,9,0,9,0,0,3,3,0,0,0,0,0,7,0,0,1,36,11,87,77,8,1
鹅蛋黄,324,0,13,16,1,10,26,1,3,6,0,0,0,96,2,1977,1696,0,2,0,51,50,24,26,11
鹌鹑蛋,160,0,47,13,0,11,11,0,3,2,0,0,0,3,2,337,515,0,1,138,180,73,107,25,8
鹌鹑蛋(五香罐头),152,0,157,12,0,8,12,0,3,0,0,0,0,5,1,98,480,0,2,41,209,74,712,12,8
白条鱼(裸鱼),103,0,58,17,0,13,3,2,2,2,0,0,0,1,3,11,129,0,2,331,224,77,68,12,8
草鱼[白鲩，草包鱼],113,0,38,17,0,31,5,3,1,0,0,0,0,2,1,11,86,0,1,312,203,77,46,7,8
赤眼鳟[金目鱼],109,0,59,18,0,2,4,5,6,0,0,1,0,2,1,12,76,0,1,291,186,76,87,79,23
感鱼[猴鱼],114,0,139,18,0,23,4,1,0,1,0,0,0,1,1,11,58,0,1,194,109,76,158,21,8
胡子鲇[塘虱(鱼)],146,0,18,15,0,20,8,4,1,3,0,0,0,0,1,8,53,0,1,78,129,73,46,34,8
黄颡鱼[戈牙鱼，黄鳍鱼],124,0,59,18,0,19,3,4,6,7,0,0,0,1,1,0,90,0,1,202,166,72,250,16,8
黄鳝[鳝鱼],89,0,42,18,1,18,1,4,2,1,0,2,0,1,2,50,126,0,1,263,206,78,70,35,23
黄鳝丝,69,0,57,15,2,0,1,2,3,0,0,8,0,1,2,0,77,0,1,278,81,83,131,36,23
尖嘴白,137,0,27,23,0,14,3,0,1,4,0,0,0,0,1,0,73,0,1,375,192,69,48,0,8
口头鱼,134,0,103,20,0,26,4,2,2,4,0,0,0,0,2,0,0,0,1,270,247,70,48,0,8
鲤鱼[鲤拐子],109,0,50,18,0,33,4,3,1,0,0,0,0,1,2,25,84,0,1,334,204,77,54,15,8
罗非鱼,98,0,12,18,0,36,2,3,1,3,0,0,0,2,1,0,78,0,1,289,161,76,20,23,8
罗非鱼(莫桑比克)[非洲黑鲫鱼],77,0,24,16,0,24,1,2,1,1,0,0,0,0,1,7,54,0,1,338,150,81,67,0,8
泥鳅,96,0,299,18,0,28,2,6,3,2,0,0,0,1,3,14,136,0,2,282,302,77,75,35,8
青鱼[青皮鱼，青鳞鱼，青混],118,0,31,20,0,32,4,3,1,0,0,0,0,1,1,42,108,0,2,325,184,74,47,38,8
乌鳢[黑鱼，石斑鱼，生鱼],85,0,152,18,0,33,1,2,1,0,0,0,0,1,1,26,91,0,2,313,232,79,49,25,8
银鱼[面条鱼],105,0,46,17,0,25,4,0,1,0,0,0,0,2,0,0,361,0,3,246,22,76,9,10,8
湟鱼(裸鲤鱼),124,0,42,17,0,15,3,3,1,7,0,0,0,1,1,10,98,0,2,372,229,71,42,24,8
湟鱼(裸鱼),100,0,59,18,0,15,2,2,2,2,0,0,0,1,2,16,74,0,1,329,221,77,117,5,8
鲇鱼[胡子鲇，鲢胡，旺虾],103,0,42,17,0,22,4,2,2,0,0,0,0,1,1,0,163,0,1,351,195,78,50,27,8
鲒花,117,0,0,16,0,0,6,1,0,0,0,0,0,2,0,0,34,0,2,0,270,77,64,25,8
鲢鱼[白鲢，胖子，连子鱼],104,0,53,18,0,23,4,2,1,0,0,0,0,1,1,20,99,0,1,277,190,77,58,16,8
鲫鱼[喜头鱼，海附鱼],108,0,79,17,0,41,3,2,1,4,0,0,0,1,2,17,130,0,1,290,193,75,41,14,8
鲮鱼[雪鲮],95,0,31,18,0,22,2,3,1,1,0,0,0,2,1,125,86,0,1,317,176,78,40,48,23
鲮鱼(罐头),399,0,598,31,0,74,27,2,6,8,0,1,0,6,2,0,162,0,7,480,750,27,2310,9,19
鳊鱼[鲂鱼，武昌鱼],135,0,89,18,0,17,6,2,1,1,0,0,0,1,1,28,94,0,1,215,188,73,41,12,8
鳗鲡[鳗鱼，河鳗],181,0,42,19,0,34,11,4,2,2,0,0,0,4,1,0,177,0,1,207,248,67,59,34,8
鳙鱼[胖头鱼，摆佳鱼，花鲢鱼],100,0,82,15,0,26,2,3,1,5,0,0,0,3,1,34,112,0,1,229,180,76,61,19,8
鳜鱼[桂鱼，花鲫鱼],117,0,63,20,0,32,4,6,1,0,0,0,0,1,1,12,124,0,2,295,217,74,69,26,8
鳟鱼[红鳟鱼],99,0,34,19,0,45,3,0,0,0,0,0,0,4,4,206,102,0,2,688,374,77,110,20,8
白姑鱼[白米子(鱼)],150,0,23,19,0,28,8,3,0,0,0,0,0,1,1,0,80,0,1,382,171,72,153,21,8
参鱼[蓝圆参，边鱼],124,0,55,18,0,30,3,4,2,5,0,0,0,0,1,1,78,0,1,215,191,72,82,25,8
带鱼[白带鱼，刀鱼],127,0,28,18,0,43,5,3,1,3,0,0,0,1,1,29,76,0,1,280,191,73,150,37,8
堤鱼,191,0,15,18,0,46,13,6,2,1,0,0,0,0,1,5,0,0,1,228,324,67,65,80,23
丁香鱼(干),196,0,590,38,0,319,3,2,4,5,0,1,0,0,3,119,379,0,18,664,914,36,4375,41,19
狗母鱼[大头狗母鱼],100,0,95,17,0,51,2,4,2,3,0,0,0,0,1,11,71,0,2,194,263,76,156,29,8
海鲫鱼[九九鱼],206,0,69,17,0,30,14,4,2,4,0,0,0,1,1,0,70,0,1,133,193,64,16,29,8
海鳗[鲫勾],122,0,28,19,0,27,5,3,1,0,0,0,0,2,1,22,71,0,1,266,159,75,96,26,8
红娘鱼[翼红娘鱼],105,0,160,18,0,45,3,5,1,2,0,0,0,1,3,6,120,0,1,308,297,76,164,59,23
黄姑鱼[黄婆鸡(鱼)],137,0,94,18,0,29,7,4,1,0,0,0,0,1,1,0,166,0,1,282,196,74,102,64,23
黄鱼(大黄花鱼),97,0,53,18,0,39,2,2,1,1,0,0,0,1,1,10,86,0,1,260,174,78,120,43,8
黄鱼(小黄花鱼),99,0,78,18,0,28,3,2,1,0,0,0,0,1,1,0,74,0,1,228,188,78,103,55,23
黄鲂[赤虹，老板鱼],81,0,27,18,0,24,0,2,0,1,0,0,0,0,0,10,121,0,3,227,157,78,160,31,8
金线鱼[红三鱼],101,0,102,19,0,29,3,5,1,0,0,0,0,1,1,20,54,0,1,300,128,77,118,48,23
绿鳍马面豚[面包鱼，橡皮鱼],83,0,54,18,0,27,1,3,1,1,0,0,0,1,1,15,45,0,1,291,185,79,80,38,8
梅童鱼[大头仔鱼，丁珠鱼],121,0,34,19,0,36,5,2,2,0,0,0,0,1,1,25,88,0,1,299,164,75,106,45,23
沙丁鱼[沙鲻],89,0,184,20,0,30,1,2,1,0,0,0,0,0,0,0,158,0,1,136,183,78,92,49,23
沙钻鱼[多鳞喜，沙梭，麦穗鱼],84,0,120,18,0,40,1,2,2,1,0,0,0,0,1,12,120,0,1,211,220,78,174,21,8
蛇鲻[沙梭鱼],122,0,117,21,0,30,4,2,0,0,0,0,0,1,1,0,74,0,1,304,156,74,118,13,8
舌鳎[花纹舌头，舌头鱼],83,0,57,18,0,27,1,2,2,0,0,0,0,1,0,6,82,0,2,309,168,80,139,35,8
油抒[香梭鱼],145,0,13,16,0,44,9,3,2,0,0,0,0,1,1,32,78,0,1,275,158,74,68,22,8
颚针鱼[针量鱼],180,0,58,20,0,30,10,0,1,1,0,0,0,3,2,0,101,0,2,336,197,66,73,37,8
鲅鱼[马鲛鱼，燕鲅鱼，巴鱼],121,0,35,21,0,50,3,2,1,2,0,0,0,1,1,19,75,0,1,370,130,72,74,52,23
鲅鱼(咸)[咸马胶],157,0,0,23,0,0,2,3,6,12,0,0,0,5,2,0,89,0,10,298,228,53,5350,28,8
鲆[片口鱼，比目鱼],112,0,55,21,0,55,3,4,1,0,0,0,0,0,1,0,81,0,2,317,178,76,67,37,8
鲈鱼[鲈花],105,0,138,19,0,37,3,3,2,0,0,0,0,1,3,19,86,0,2,205,242,76,144,33,8
鲐鱼[青鲐鱼，鲐巴鱼，青砖鱼],155,0,50,20,0,47,7,9,2,2,0,0,0,1,1,38,77,0,1,263,247,69,88,58,23
鲑鱼[大麻哈鱼],139,0,13,17,0,36,8,4,0,0,0,0,0,1,1,45,68,0,1,361,154,74,63,29,8
鲑鱼籽酱[大麻哈鱼籽酱],252,0,23,11,0,73,17,0,3,14,0,0,0,12,3,111,0,1,8,171,359,49,2881,203,23
鲚鱼(大)[大凤尾鱼],106,0,114,13,0,28,6,1,2,1,0,0,0,1,2,15,117,0,3,161,498,78,53,38,8
鲚鱼(小)[小凤尾鱼],124,0,78,16,0,23,5,1,2,4,0,0,0,1,1,14,82,0,3,225,460,73,38,33,8
鲨鱼[真鲨，白斑角鲨],118,0,41,22,0,30,3,3,1,0,0,0,0,1,1,21,70,0,1,285,212,73,102,57,23
鲳鱼[平鱼，银鲳，刺鲳],140,0,46,18,0,39,7,2,1,0,0,0,0,1,1,24,77,0,1,328,155,73,62,27,8
鲷[黑鲷，铜盆鱼，大目鱼],106,0,186,18,0,36,3,4,2,3,0,0,0,1,1,12,65,0,2,261,304,75,104,32,8
鲻鱼[白眼棱鱼],119,0,19,19,0,25,5,2,0,0,0,0,0,3,1,0,99,0,1,245,183,75,71,17,8
鲽[比目鱼，凸眼鱼],107,0,107,21,0,32,2,2,0,0,0,0,0,2,1,117,73,0,2,264,135,75,150,29,8
鳐鱼[夫鱼],90,0,22,21,0,20,1,4,1,0,0,0,0,1,1,27,48,0,1,277,159,77,130,29,8
鳓鱼[快鱼，力鱼],159,0,39,21,0,28,8,0,1,0,0,0,0,2,1,0,76,0,1,246,203,72,48,36,8
鳕鱼[鳕狭，明太鱼],88,0,42,20,0,84,0,3,0,0,0,0,0,0,1,14,114,0,1,321,232,77,130,25,8
鳘鱼,89,0,21,20,0,18,1,3,1,0,0,0,0,0,1,33,62,0,1,357,228,78,55,51,23
鱼片干,303,0,106,46,0,60,3,5,4,22,0,0,0,1,3,0,307,0,8,251,308,20,2321,0,27
鱼奇油[鱼露，虾油],47,0,24,11,0,60,0,2,3,0,0,0,0,0,0,0,0,0,23,199,6,65,9350,12,32
白米虾[水虾米],81,0,403,17,0,26,0,0,2,2,0,0,0,3,2,54,103,1,3,255,267,77,91,0,8
斑节对虾[草虾],103,0,59,19,0,63,1,2,2,5,0,0,0,2,2,82,148,1,2,363,275,74,169,28,8
长毛对虾[大虾，白露虾],90,0,36,18,0,47,0,3,3,3,0,0,0,4,2,79,136,1,2,386,241,76,209,9,8
刺蛄[刺蛄],77,0,0,16,0,21,1,3,14,0,0,0,0,0,1,0,98,1,1,181,283,81,87,0,8
东方对虾[中国对虾],84,0,35,18,0,37,0,1,1,2,0,0,0,4,1,87,183,0,2,217,253,78,134,19,8
对虾,93,0,62,19,0,43,1,2,2,3,0,0,0,1,2,15,193,0,1,215,228,76,165,34,8
海虾,79,0,146,17,0,46,1,2,3,2,0,0,0,3,1,0,117,0,2,228,196,79,302,56,23
河虾,87,0,325,16,0,60,2,0,4,0,0,0,0,5,2,48,240,1,4,329,186,78,134,30,8
基围虾,101,0,83,18,0,45,1,3,2,4,0,0,0,2,1,0,181,0,1,250,139,75,172,40,8
江虾[沼虾],87,0,78,10,0,131,1,2,9,9,0,1,0,11,3,102,116,3,2,683,293,77,0,18,8
龙虾,90,0,21,19,0,22,1,4,1,1,0,0,0,4,3,0,121,1,1,257,221,78,190,39,8
明虾,85,0,75,13,0,31,2,4,1,4,0,0,0,2,4,0,273,0,1,238,189,80,119,25,8
塘水虾[草虾],96,0,403,21,0,26,1,0,3,0,0,0,0,5,3,44,264,2,4,250,233,74,109,0,8
虾虎,81,0,22,12,0,32,2,1,2,5,0,0,0,3,3,0,177,3,1,132,206,81,137,47,23
虾皮,153,0,991,31,0,265,2,3,7,2,0,1,0,1,2,19,428,1,22,617,582,42,5058,74,19
螯虾,93,0,85,15,0,2,4,3,6,0,0,3,0,4,1,0,0,1,1,550,228,80,225,8,8
虾米[海米，虾仁],198,0,555,44,0,236,3,5,11,0,0,1,0,1,4,21,525,2,17,550,666,37,4892,75,5
虾脑酱,100,0,667,15,0,53,4,4,9,0,0,1,0,2,4,0,249,2,22,111,146,58,1790,21,32
海蟹,95,0,208,14,0,47,2,2,2,5,0,0,0,3,3,30,125,2,2,232,142,77,260,83,23
河蟹,103,0,126,18,0,23,3,2,3,2,0,0,0,6,4,389,267,3,2,181,182,76,194,57,23
踞缘青蟹[青蟹],80,0,228,15,0,42,2,2,1,2,0,0,0,3,4,402,119,3,2,206,262,80,193,76,23
梭子蟹,95,0,280,16,0,65,3,2,2,1,0,0,0,5,6,121,142,1,3,208,152,78,481,91,23
蟹肉,62,0,231,12,0,41,1,4,2,1,0,0,0,3,2,0,65,1,2,214,159,84,270,33,8
鲍鱼[杂色鲍],84,0,266,13,0,59,1,0,23,7,0,0,0,2,2,24,242,1,2,136,77,78,2012,21,8
鲍鱼(干),322,0,143,54,0,352,6,7,7,14,0,0,0,1,2,28,0,0,8,366,251,18,2316,67,5
蛏子,40,0,134,7,0,35,0,1,34,2,0,2,0,1,2,59,131,0,2,140,114,88,176,55,23
蛏干[蛏子缢，蛏青子],340,0,107,46,0,303,5,5,89,27,0,8,0,0,14,20,469,2,9,586,791,12,1175,121,5
赤贝,61,0,35,14,0,45,1,0,5,0,0,1,0,13,12,0,144,0,2,153,118,85,266,60,23
河蚌,54,0,248,11,0,16,1,1,27,1,0,60,0,1,6,243,103,0,2,17,305,85,17,20,10
河蚬[蚬子],47,0,39,7,0,10,1,1,11,2,0,0,0,0,2,37,257,0,1,25,127,88,18,30,8
牡蛎[海蛎子],73,0,131,5,0,65,2,1,7,8,0,1,0,1,9,27,100,8,2,200,115,82,462,87,21
生蚝,57,0,35,11,0,10,2,2,5,0,0,0,0,0,71,0,94,12,0,375,100,87,270,41,24
泥蚶[血蚶，珠蚶],71,0,59,10,0,84,1,1,11,6,0,1,0,13,12,6,124,0,1,207,103,82,355,41,23
扇贝(鲜),60,0,142,11,0,39,1,0,7,3,0,1,0,12,12,0,140,0,2,122,132,84,339,20,8
扇贝(干)[干贝],264,0,77,56,0,106,2,2,6,5,0,0,0,2,5,11,348,0,10,969,504,27,306,76,5
鲜贝,77,0,28,16,0,31,0,2,1,2,0,0,0,1,2,0,116,0,1,226,166,80,120,57,23
银蚶[蚶子],71,0,49,12,0,59,1,1,7,2,0,1,0,1,2,0,89,0,1,76,111,83,280,86,23
贻贝(鲜)[淡菜，壳菜],80,0,63,11,0,56,2,2,7,5,0,0,0,14,2,73,123,0,2,157,197,80,451,58,23
贻贝(干)[淡菜，壳菜],355,0,157,48,0,169,9,4,12,20,0,1,0,7,7,36,493,1,7,264,454,16,779,120,5
蛤蜊(均值),62,0,133,10,0,78,1,2,11,3,0,0,0,2,2,21,156,0,2,140,128,84,426,54,23
花蛤蜊,45,0,59,8,0,82,1,2,6,2,0,0,0,1,1,23,63,0,2,235,126,87,309,77,23
毛蛤蜊,97,0,137,15,0,87,1,1,15,7,0,1,0,4,2,0,113,0,1,164,116,76,363,68,23
秋蛤蜊,89,0,177,16,0,108,1,2,22,5,0,1,0,18,3,0,180,0,2,123,166,76,492,87,23
沙蛤蜊,56,0,111,9,0,66,2,2,6,1,0,0,0,2,2,0,74,0,2,109,97,87,578,28,8
杂色蛤蜊,53,0,177,8,0,59,2,2,13,1,0,0,0,4,5,0,106,0,2,97,161,88,495,41,23
螺(均值),100,0,722,16,0,143,1,2,7,7,0,1,0,8,5,26,0,1,3,167,118,74,153,38,23
红螺,119,0,539,20,0,191,1,0,5,8,0,0,0,21,3,50,177,0,3,179,152,69,220,75,23
黄螺[东风螺],106,0,55,20,1,32,1,2,3,4,0,0,0,0,2,2,167,1,4,297,140,71,129,28,8
螺蛳,59,0,156,8,0,178,1,2,1,6,0,1,0,0,10,0,86,2,3,75,98,83,253,17,8
石螺,90,0,2458,13,0,147,1,1,9,8,0,0,0,2,6,0,198,2,3,21,118,75,13,12,36
田螺,60,0,1030,11,0,77,0,2,20,4,0,1,0,1,3,0,154,1,3,98,93,82,26,17,19
香海螺,163,0,91,23,0,231,4,3,3,10,0,1,0,7,3,0,195,1,2,333,109,62,279,79,23
海参,78,0,285,16,0,149,0,0,13,2,0,1,0,3,1,0,51,0,4,43,28,77,503,64,23
海参(干),262,0,0,50,0,1047,5,1,9,4,0,0,0,0,2,39,62,0,22,356,94,19,4968,150,5
海参(水浸),25,0,240,6,0,31,0,0,1,0,0,0,0,0,0,11,50,0,0,41,10,94,81,6,1
海蜇皮,33,0,150,4,0,124,0,0,5,4,0,0,0,2,1,0,8,0,16,160,30,76,325,16,32
海蜇头,74,0,120,6,0,114,0,0,5,12,0,2,0,3,0,14,10,0,13,331,22,69,468,17,32
墨鱼[曼氏无针乌贼],83,0,15,15,0,39,1,2,1,3,0,0,0,1,1,0,226,1,1,400,165,79,166,38,8
墨鱼(干)[曼氏无针乌贼],287,0,82,65,0,359,2,4,24,2,0,0,0,7,10,0,316,4,6,1261,413,25,1744,104,5
乌贼(鲜)[鱿鱼，台湾枪乌贼，枪乌贼],84,0,44,17,0,42,2,2,1,0,0,0,0,2,2,35,268,0,1,290,19,80,110,38,8
鱿鱼(干)[台湾枪乌贼],313,0,87,60,0,192,5,5,4,8,0,0,0,10,11,0,871,1,6,1131,392,22,965,156,5
鱿鱼(水浸),75,0,43,17,0,61,1,0,0,0,0,0,0,1,1,16,0,0,1,16,60,81,135,14,8
乌鱼蛋,66,0,11,14,0,21,1,2,0,0,0,0,0,11,1,0,243,0,1,201,99,85,127,38,8
章鱼[真蛸],52,0,22,11,0,42,0,1,1,1,0,0,0,0,5,7,114,9,1,157,106,86,288,42,21
章鱼(八爪鱼)[八角鱼],135,0,21,19,0,50,0,5,1,14,0,0,0,1,1,0,0,0,1,447,63,65,65,27,8
母乳化奶粉,510,0,251,14,1,69,27,0,8,52,5,0,0,0,2,303,0,0,4,643,354,3,169,71,23
婴儿奶粉,443,0,998,20,1,100,15,0,5,57,0,0,0,3,4,28,91,0,4,703,457,4,9,24,19
豆奶粉,423,0,149,19,0,184,8,1,4,69,0,1,0,5,2,0,90,1,2,528,257,3,15,7,3
