食物名称(100g),热量(kcal),硫胺素(mg),钙(mg),蛋白质(g),核黄素(mg),镁(mg),脂肪(g),烟酸(mg),铁(mg),碳水化合物(g),维生素C(mg),锰(mg),膳食纤维(g),维生素E(mg),锌(mg),维生素A(ug),胆固醇(mg),铜(mg),胡萝卜素(ug),钾(mg),磷(mg),视黄醇当量(ug),钠(mg),硒(mg),label
猪蹄筋,156,0,15,35,0,4,1,3,2,0,0,0,0,0,2,0,79,0,0,46,40,62,178,10,8
猪头皮,499,0,13,12,0,56,45,0,2,13,0,1,0,0,1,0,304,0,0,62,37,31,72,0,0
猪小排,278,0,14,17,0,14,23,4,1,1,0,0,0,0,3,5,146,0,1,230,135,58,63,11,8
猪肘棒,248,0,19,16,0,5,16,7,2,9,0,0,0,0,2,0,65,0,3,148,122,56,80,7,8
猪胆肝,336,0,12,44,2,95,6,11,181,25,0,1,0,0,11,3582,1017,1,8,855,325,16,3625,43,28
猪肚,110,0,11,15,0,12,5,4,2,1,0,0,0,0,2,3,165,0,1,171,124,78,75,13,8
猪肺,84,0,6,12,0,10,4,2,5,0,0,0,0,0,1,10,290,0,1,210,165,83,81,11,8
猪肝,129,0,6,19,2,24,4,15,23,5,20,0,0,1,6,4972,288,1,2,235,310,71,69,19,35
猪脑,131,0,30,11,0,10,10,3,2,0,0,0,0,1,1,0,2571,0,2,259,294,78,131,13,11
猪脾,94,0,1,13,0,14,3,1,11,3,0,0,0,0,1,0,461,0,1,234,111,79,26,16,8
猪舌[口条],233,0,13,16,0,14,18,5,3,2,0,0,0,1,2,15,158,0,1,216,163,64,79,12,8
猪肾[猪腰子],96,0,12,15,1,22,3,8,6,1,13,0,0,0,3,41,354,1,1,217,215,79,134,112,23
猪肾(腰子),137,0,2,16,1,16,8,6,5,0,7,0,0,0,2,46,0,0,1,194,232,75,125,157,23
猪小肠,65,0,7,10,0,16,2,3,2,2,0,0,0,0,3,6,183,0,1,142,95,85,205,7,8
猪心,119,0,12,17,0,17,5,7,4,1,4,0,0,1,2,13,151,0,1,260,189,76,71,15,8
猪血,55,0,4,12,0,5,0,0,9,1,0,0,0,0,0,0,51,0,1,56,16,86,56,8,1
叉烧肉,279,1,8,24,0,28,17,7,3,8,0,0,0,1,2,16,68,0,2,430,218,49,819,8,25
宫爆肉丁(罐头),353,0,47,18,0,9,28,10,2,8,0,0,0,2,3,31,62,0,2,113,140,44,472,3,27
酱汁肉,549,0,9,16,0,2,50,2,2,8,0,0,0,0,3,4,92,0,2,110,90,24,257,0,0
腊肉(培根),181,1,2,22,0,3,9,4,2,3,0,0,0,0,2,0,46,0,3,294,228,63,51,6,25
腊肉(生),498,0,22,12,0,35,49,0,8,3,0,0,0,6,3,96,123,0,5,416,249,31,764,24,0
卤猪杂,186,0,14,25,0,12,5,2,3,11,0,0,0,0,2,0,208,0,2,121,142,58,881,5,8
午餐肉,229,0,57,9,0,18,16,11,1,12,0,0,0,0,1,0,56,0,3,146,81,60,982,4,27
咸肉,390,1,10,16,0,30,36,4,3,0,0,0,0,0,2,20,72,0,8,387,112,40,196,13,25
珍珠里脊丝(罐头),225,0,34,7,0,14,17,5,1,10,0,0,0,1,1,0,120,0,2,136,61,64,572,3,8
猪肝(卤煮),203,0,68,26,0,12,8,0,2,6,0,0,0,0,0,4200,469,0,3,188,153,56,675,29,8
猪肉(清蒸),198,0,4,18,0,9,14,3,3,0,0,0,0,0,3,0,62,0,1,134,113,67,211,11,8
猪蹄(熟),260,0,32,24,0,3,17,3,2,3,0,0,0,0,1,0,86,0,0,18,52,56,363,4,8
猪肘棒(熟),314,0,55,21,0,6,24,4,2,2,0,0,0,0,3,0,108,0,3,106,102,50,754,11,8
猪肉松(均值),396,0,41,23,0,55,12,3,6,50,0,1,0,10,4,44,111,0,6,313,162,9,469,9,3
福建式肉松,493,0,3,25,0,3,26,3,8,40,0,0,0,1,3,0,111,1,6,264,151,4,1420,13,0
老年保健肉松,458,0,33,36,0,3,20,4,3,32,0,1,0,15,4,0,111,0,6,451,249,5,2302,16,27
太仓肉松,316,0,53,39,0,42,8,3,8,22,0,0,0,0,7,0,111,0,7,300,179,24,1880,16,27
茶肠,329,0,2,9,0,15,30,3,2,7,0,0,0,0,3,0,72,0,2,178,150,52,723,3,0
大腊肠,267,1,24,13,0,7,20,10,2,9,0,0,0,0,1,0,69,0,4,159,66,55,1099,5,25
大肉肠,273,0,67,12,0,27,23,7,3,5,0,0,0,0,3,0,72,0,4,233,97,57,1370,5,27
蛋清肠,278,1,26,12,0,7,23,11,2,6,0,0,0,0,1,20,122,0,4,161,85,55,1143,6,25
儿童肠,290,0,12,13,0,18,20,3,3,15,0,0,0,1,2,0,61,0,2,218,101,50,0,17,8
风干肠,283,0,18,12,0,7,23,13,4,6,0,0,0,0,1,0,47,0,3,163,121,56,618,4,27
广东香肠,433,0,5,18,0,24,37,6,3,6,0,0,0,0,3,0,94,0,5,356,173,34,1478,7,0
红果肠,260,0,22,10,0,7,15,11,5,20,0,0,0,0,1,0,23,0,3,145,97,51,781,4,27
火腿肠,212,0,9,14,0,22,10,2,4,16,0,0,0,1,3,5,57,0,3,217,187,57,771,9,8
腊肠,584,0,24,22,0,13,48,4,3,15,0,0,0,0,2,0,88,0,6,100,69,8,1420,9,0
松江肠,402,0,5,12,0,37,26,3,3,28,0,0,0,0,4,10,38,0,2,195,202,30,759,5,0
蒜肠,309,0,13,8,0,9,25,1,2,13,0,0,0,0,2,5,51,0,2,92,74,52,562,4,0
香肠,508,0,14,24,0,52,41,4,6,11,0,0,0,1,8,0,82,0,5,453,198,19,2309,9,0
香肠(罐头),290,0,6,8,0,8,28,2,1,1,0,0,0,1,1,0,0,0,2,70,52,61,874,2,0
小红肠,280,0,10,12,0,14,23,3,2,6,0,0,0,0,2,158,72,0,3,183,161,56,682,5,8
